,0
0,Abandonada
1,Akin Ang Labang Ito
2,Anak
3,Ang Dalubhasa
4,Anghel Dela Guardia
5,Arayyy!
6,Baliktaran
7,Basta Tricycle Driver... Sweet Lover
8,Birthday Gift 2
9,Biyaheng Langit
10,Buhay Kamao
11,Burador (Ang Babaing Sugo)
12,Col. Elmer Jamias: Barako ng Maynila
13,"Daddy O, Baby O!"
14,Deathrow
15,'Di Ko Kayang Tanggapin
16,Eto Na Naman Ako
17,Ex-Con
18,Fidel Jimenez: Magkasubukan Tayo
19,Ika-13 Kapitulo
20,Ipinanganak na ang Taong Papatay Sa Iyo
21,Juan & Ted: Wanted
22,Kailangan Ko'y Ikaw
23,Kahit Isang Saglit
24,Laro Sa Baga
25,Madame X
26,Mana Mana-Tiba Tiba
27,Markova: Comfort Gay
28,Matalino Man ang Matsing Naiisahan Din!
29,Minsan Ko Lang Sasabihin
30,Minsan Minahal Kita
31,Most Wanted
32,Palaban
33,Pasasabugin Ko ang Mundo Mo
34,Patigasan
35,"Pedro Penduko, Episode II: The Return of the Comeback"
36,Pedrong Palad
37,Pera o bayong (Not da TV)!
38,Ping Lacson: Super Cop
39,Sagot Kita: Mula Ulo Hanggang Paa
40,Saranggani
41,Spirit Warriors
42,Sugatang Puso
43,Sugo ng Tondo
44,Tanging Yaman
45,Tunay na Tunay: Gets Mo? Gets Ko!
46,Aagos ang dugo
47,Abakada... Ina
48,Alas Dose
49,Bagong Buwan
50,Bakit Di Totohanin
51,Balahibong Pusa
52,Bahay ni Lola
53,Banyo Queen
54,Basagan ng Mukha
55,Booba
56,"Bukas, Babaha ng Dugo"
57,Cool Dudes 24/7
58,Di Kita Ma-Reach
59,Dos Ekis
60,"Dugong Aso: Mabuting Kaibigan, Masamang Kaaway"
61,Hostage
62,Hubog
63,Huwag kang kikibo
64,Kaaway Hanggang Hukay
65,Kapag Buhay Ang Inutang... Buhay Din Ang Kabayaran
66,La Vida Rosa
67,Mananabas
68,Mano Mano 2: Ubusan ng Lakas
69,Mila
70,Narinig Mo Na Ba Ang L8est?
71,Oops... Teka Lang... Diskarte Ko To
72,Pagdating ng Panahon
73,Pangako Ikaw Lang
74,Parehas ang Laban
75,Radyo
76,Red Diaries
77,Sanggano't Sanggago
78,Susmaryosep: 4 Fathers
79,Tabi Tabi Po
80,Tatarin
81,Yamashita: The Tiger's Treasure
82,9 Mornings
83,Agimat: Ang Anting-Anting ni Lolo
84,Ang Alamat ng Lawin
85,American Adobo
86,Bahid
87,Batas ng Lansangan
88,Dekada '70
89,Diskarte
90,D' Uragons
91,Forevermore
92,Gamitan
93,Got 2 Believe
94,Hula Mo...Huli Ko
95,Home Along da Riber
96,I Think I'm in Love
97,"Jeannie, Bakit Ngayon Ka Lang?"
98,Jologs
99,Kailangan Kita
100,Kung Ikaw Ay Isang Panaginip
101,Laman
102,Lapu-Lapu
103,Mahal kita: Final Answer!
104,Mano Po
105,Magkapatid
106,Masarap na Pugad
107,Mga Batang Lansangan
108,Mga Munting Tinig
109,Pistolero
110,Singsing Ni Lola
111,Spirit Warriors: The Shortcut
112,S2pid Love
113,Super B
114,Tampisaw
115,Videoke King
116,Walang Iwanan... Peksman
117,A.B. Normal College (Todo na 'Yan! Kulang Pa 'Yun!)
118,Ang Huling Birhen sa Lupa
119,Gagamboy
120,Ang Tanging Ina
121,Bayaran
122,Bugbog Sarado
123,Captain Barbell
124,Chavit
125,Cory Quirino Kidnap: The NBI Files
126,Crying Ladies
127,Duda/Doubt
128,Fantastic Man
129,Filipinas
130,Homecoming
131,Keka
132,Kung Ako Na Lang Sana
133,Lastikman
134,Magnifico
135,Malikmata
136,Mano Po II: My Home
137,Matamis Hanggang Dulo
138,"Minsan, Minahal Kita"
139,Mr. Suave
140,My First Romance
141,Ngayong Nandito Ka
142,Noon At Ngayon: Pagsasamang Kay Ganda
143,Onse
144,Operation Balikatan
145,Pakners
146,Pinay Pie
147,Sanib
148,Sukdulan
149,Till There Was You
150,Virgin People III
151,You and Me Against the World
152,Aishite Imasu 1941: Mahal Kita
153,All My Life
154,Anak Ka ng Tatay Mo
155,Animal
156,Astigmasim
157,Babae sa Breakwater
158,Bcuz of U
159,Beautiful Life
160,Bridal Shower
161,"Enteng Kabisote: Okay ka, Fairy Ko: The Legend"
162,Feng Shui
163,Gagamboy
164,Kulimlim
165,Lastikman: Unang Banat
166,Mano Po III: My Love
