Title,Director,Year,Plot,Genre
Abandonada,Joel Lamangan,2000.0,"Cody, a little girl abandoned by her mother and raised by her aunt, a nurse, is kidnapped. The girl's guardian, aided by an F.B.I. agent, learn that Cody has supernatural abilities, and the abductees are a Satanic cult willing to do anything to gain them.","Crime, Drama, Horror, Thriller"
Akin Ang Labang Ito,Baldo Marro,2000.0,,"Action, Drama"
Anak,Rory B. Quintos,2000.0,"The main character is a Filipina Overseas Contract Worker, one of the many residents of the archipelago who is forced to leave her family and take a higher paying job in a more prosperous Asian country. While she is working her employer refuses to let her take a vacation, nor does he deliver her mail to her. She is unaware, therefore, that her husband has died. When she finally returns to the Philippines she is met with resentment and hatred by her children. The movie studies how she overcomes these feelings and rebuilds the relationship with her family.::Tim_the_Bald",Drama
Ang Dalubhasa,"Fernando Poe, Jr.",2000.0,"Jaime de Guzman, a military neurosurgeon, survives a massacre that killed his wife and daughter. He hunts down all perpetrators and is able to kill them except the boss. From returning to a normal life and to the death of a girl after performing a brain operation to her, he hides his guilt to his new life.::cinesum","Action, Drama"
Anghel Dela Guardia,William G. Mayo,2000.0,,"Action, Horror, Romance"
Arayyy!,Don Escudero,2000.0,,"Comedy, Drama"
Baliktaran,Baldo Marro,2000.0,,Action
Basta Tricycle Driver... Sweet Lover,J.R. Ledesma,2000.0,,Comedy
Birthday Gift 2,Cesar S.B. Abella,2000.0,,Drama
Biyaheng Langit,Vic Del Rosario Jr.,2000.0,,"Action, Drama, Romance"
Buhay Kamao,Joyce E. Bernal,2000.0,,
Burador (Ang Babaing Sugo),Harry James,2000.0,,
Col. Elmer Jamias: Barako ng Maynila,Toto Natividad,2000.0,,"Action, Biography"
"Daddy O, Baby O!",Enrico S. Quizon,2000.0,"A middle aged bachelor Mario spent his life taking care of his eccentric sister Brenda. He sells goodies in a mobile cart for a living. His daily routine gets a turnaround when his dying friend Arnold made him promise to take care of his daughter Ana. But Ana is not an ordinary girl little girl. Despite of her angelic look, she's mischievious and in search of her estrange mother.","Comedy, Drama, Family"
Deathrow,Joel Lamangan,2000.0,"Having strung along with delinquent friends to a home robbery that ends in a wealthy old woman's death, Manila slum youth Sonny is too stunned to get away while the others elude police capture. He's duly convicted of murder - worse, as an adult, since the orphan boy's birth certificate was lost in a fire, and his callous foster parents are nowhere to be found. Thrown into lockup among hardened lifers, the terrified 16-year-old soon finds himself at the mercy of various strong-arm cliques on death row. He's courted by booty-bandit Gabino, who plots to seize cell block ""mayor"" Mio's status as chief executor of the in-house drug trade controlled by rich prisoner Assunta. A few figures take a more protective than exploitive interest in the new fish. But Sonny's best ally, it turns out, is old-school gangster Sinat, who at 77 is still gruff and imposing enough to survive outside all the block's warring factions. He also has the support of distant relative Gina, a church-sponsored legal advocate. As he is uninterested in the early-release petition she offers, he encourages her to take up Sonny's case instead.::Anonymous","Crime, Action, Drama"
'Di Ko Kayang Tanggapin,Willy Milan,2000.0,,"Comedy, Romance"
