Title,Director,Year,Plot,Genre
666,"Honey Blanca, Celso Ad. Castillo",2010,,Horror
Ang Tanging Ina Mo (Last na 'To!),Wenn V. Deramas,2010,"A dedicated mother is told that she only has a few months to live. She is determined to spend her remaining days with her family, but she takes that idea to a ridiculous extreme.","Comedy, Drama"
Antipo,Joseph Laban,2010,,"Short, Drama"
"Babe, I Love You",Mae Cruz,2010,"A straight laced university professor haunted by an event in the past meets an outspoken promo girl with something to prove. Their differences cause plenty of unwanted conflict, but as they spend more time with each other, they find that they have more in common than they think.","Drama, Romance"
Cinco,Frasco MortizEnrico SantosCathy Garcia-MolinaAto BautistaNick Olanka,2010,"Five sex-themed stories: Story 1: At night, while waiting at the central bus station of Retiro, a man meets an adolescent girl, Reneta at the bus station. They go to a cafe and begin a conversation about sex that will prove to be deeply disturbing. Story 2: Walter, an adolescent boy will discover a new interest in his sister's boyfriend, Platero while they are fooling around on their bunk bed. Story 3: Virginia and Pablo maintained a loving relationship for some years; she is still in love but he is not the man she met. Story 4: Gustavo, a 40-year-old Argentinean married to an American woman living in the USA longs for his sex life in Buenos Aires stimulated by photos of Argentinean teenagers on the Internet. Story 5: A well-built married office employee has sexual fantasies about the women working in his office.::Cinemargentino",Romance
Dalaw,Dondon Santos,2010,"Stella (Kris Aquino) decides to marry Anton (Diether Ocampo), three years after her husband died. Anton was her great love before she was forced by her parents to marry Danilo. However, after the wedding, she experiences major hauntings that endanger her life and the people around her. All the clues are pointing to her dead husband. Feeling guilty of her ex-husband's death, Stella tries to save her family from the ghost's wrath. Along the way, secrets start to unravel and Stella is now unsure of who's haunting her and why is she being haunted.","Drama, Horror"
Father Jejemon,"Frank Gray, Jr.",2010,,Drama
Hating Kapatid,Wenn V. Deramas,2010,"Rica (Judy Ann Santos) and Cecil (Sarah Geronimo) are sisters who grow up with their Lola Amor (Gina Pareño) while their parents (Tonton Gutierrez & Cherry Pie Picache) work abroad. Rica assumes parental responsibility to Cecil, so when Cecil gets hurt in a minor accident, she breaks up with her boyfriend, Bong (JC de Vera), and vows to devote her life taking care of Cecil. The close relationship of the sisters is threatened when their parents return home after so many years. Unlike Cecil, Rica does not warm up to their parents easily. She even gets jealous as they start taking over guardianship of Cecil. Things take a turn for the worse when Cecil starts working, meets Edsel (Luis Manzano), and falls in love. As a solution, Cecil tracks down Rica's former sweetheart, Bong. But the friction between the sisters has intensified. Past wounds need to be healed to set things right again.","Comedy, Romance"
Here Comes the Bride,Chris Martinez,2010,"On the day of her wedding, Precy who has the soul of Stefanie seek the help of Kim Atienza. The solar eclipse happens once every two years. The five waited two years for the eclipse to happen.::fantazy-man","Comedy, Fantasy"
I Do (2010 film),Veronica B. Velasco,2010,Experience the journey of the most-watched sporting event in the world as it was meant to be seen: in dynamic and vibrant 3D on Blu-ray. Relive the action and intensity of the 2010 FIFA World Cup South Africa as though you were actually in the stadium witnessing all the drama and athletic skill. The greatest players in the world--supported by the most passionate fans--met up on the biggest stage in sports and made history as the 2010 FIFA World Cup enthralled South Africa and the world.::Sonny,"Documentary, Sport"
