Title,Director,Year,Plot
The Adventures of Pureza: Queen of the Riles,Soxie H. Topacio,2011,"Pura Buraot (Melai Cantiveros) is an all-around very devoted sister for her one and only brother (Martin del Rosario). Though an abandoned child & a lovelorn lass since birth, she does everything and gives out anything for them to have a better life. When one day her brother needs more money for his education, Pura enters into a very shady & extremely risky deal of finding a lost Brazilian model (Bianca Manalo). Together with her best friend Ruben Padilla (Jason Francisco), she intently looks for the model as they evade capture and serious threats on their lives. In this topsy-turvy search, she finds what she has been longing to have and finally learns to accept & open herself to love."
Amigo,John Sayles,2011,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.::IMDb Editors"
Ang Babae Sa Septic Tank,Marlon Rivera,2011,"Jocelyn, Rainier, and Bingbong are three film school graduates who are dead set on making an Oscar-worthy film. They set out to do a quick pre-production as a courtesy call to their lead actress played by Eugene Domingo, and a through inspection of their film's major location, the Payatas dumpsite. They believe they have a winning script, and the energy and drive to make their dreams come true, no matter what the cost.::ledster"
Ang Panday 2,Mac Alejandre,2011,Panday 2 kicks off in a village following Flavio's victory against Lizardo.This sequel merely talks about what happened after the first movie and introducing the rebirth of Lizardo.::Anonymous
Bulong,Chito S. Roño,2011,"A heartbroken nurse seeks paranormal help to catch the girl of his dreams. He whispers his wishes to the dead, and seemingly gets what he asks for. But the fulfillment of his dreams come at a price, as death begins to follow him around."
Catch Me... I'm in Love,Mae Czarina Cruz,2011,A ladies man falls for a renowned radio DJ.
Enteng ng Ina Mo!,Tony Y. Reyes,2011,"Enteng Kabisote (Vic Sotto) wants to retire as the perennial hero of Engkantasya and have a normal life with his family without the magical elements. Ina Montecillo (Ai-Ai delas Alas) longs to have the right partner to be with her for the rest of her life. One day, Enteng is placed under a powerful evil spell by Engkantasya's evil fairy Satana to fall in love with another woman. And when he meets Ina, he exerts all the effort Ina to fall for him. Ina, on the other hand, slowly opens her heart for this new opportunity of love. Enteng then tries his best to be a father to Ina's children even if they are not fully supportive of him. But when their relationship gets serious, Ina discovers the truth - Enteng already has a family.::ledster"
Forever and a Day,Cathy Garcia-Molina,2011,"Eugene (Sam Milby) arrives in Bukidnon with only one intention: to forget his problems at work. But when he meets Raffy (KC Concepcion) and as they travel and go on ridiculous and death-defying activities together, they start to form a friendship that goes beyond Euge's original plan. Raffy helps Euge appreciate himself more and to look at things in a positive way. With Raffy, Euge begins to believe in himself again. Soon, against his own expectations, he admits to himself that has fallen in love with this girl. But life is truly ironic. The moment Euge expresses his feelings for her, Raffy suddenly starts to push him away. She admits that he can never have her, and she doesn't want Eugene to hope for a happy ending with her, because she cannot be loved. Now, it is Euge's turn to make Raffy believe in love again, just as how she reminded him to believe in himself. But is faith enough to change the course of their destiny? And is his love strong enough for him to sacrifice everything for a relationship that will not last, and for a girl who will leave him soon?::Anonymous"
Ikaw Ang Pag-ibig,Marilou Diaz-Abaya,2011,"Vangie Cruz (Ina Feleo) is a rebellious woman whose family life and career as a video editor are disrupted when her only brother, a newly ordained priest, Fr. Johnny (Marvin Agustin), is diagnosed of Acute Myeloid Leukemia. As a sibling, Vangie is called upon to be a donor for Fr. Johnny's bone marrow transplant. At first, Vangie is very reluctant. She has a clinical phobia for medical procedures, the reasons for which are rooted in an attempted, but botched, abortion which she suffered through many years earlier and has since been troubled about. Her life is saved by Dr. Joey Lucas (Jomari Yllana) with whom she has a love child, and whom she eventually marries. Vangie's dysfunctional family gravitates around Fr. Johnny, and in their struggle to cope with his illness, find themselves drawn to Ina, begging for her intercession. Their prayers are answered, not so much by way of a miraculous cure for Fr. Johnny, but by the grace of conversion, of love, of forgiveness, reconciliation, and hope."
In the Name of Love,Olivia Lamasan,2011,"With barely anything to live for, Emman Toledo (Aga Muhlach), a former dancer, is just about to start his life all over again. He holds the good memories of his past dearly, knowing he will never be able to bring back his better days. An unlikely opportunity comes up when he is assigned to be the dance instructor for the upcoming Governor's Ball of the powerful political family of the Evelinos, a chance for him to rekindle his lost passion. It will be at this ball where the engagement of the governor's son Dylan Evelino (Jake Cuenca), and Cedes Fernandez (Angel Locsin) will be announced. Despite her hatred for the dirty politics, Cedes has no choice but to succumb to the decision of Dylan out of her indebtedness towards the family. Emman is drawn towards Cedes from the first time she catches his eye. As their lives intertwine through dance, Emman and Cedes find themselves resisting an affair: one that holds the truths to their painful pasts, and the memories of a boundless love. Pursuing their feelings for each other will only set fire to the dangers and trappings of their love, so much so that their love could cost them their lives. Can the strength of their love overcome the powers of the dangers surrounding them?::Anonymous"
