Title,Director,Year
Mia,Veronica Velasco,2020
Nightshift,Yam Laranas,2020
D' Ninang,GB Sampedro,2020
A Thousand Cuts,Ramona S. Diaz,2020
Block Z,Mikhail Red,2020
"On Vodka, Beers, and Regrets",Irene Villamor,2020
James and Pat and Dave,Theodore Boborol,2020
Untrue,Sigrid Andrea Bernardo,2020
Watch List,Ben Rekhi,2020
Sunday Night Fever,Lemuel Lorca,2020
Death of Nintendo,Raya Martin,2020
Us Again,Joy Aquino,2020
Hindi Tayo Pwede,Joel Lamangan,2020
Love Lockdown,"Andoy Ranay, Darnel Villaflor, Noel Escondo, and Manny Palo",2020
Malaya,Concepcion Makatuno,2020
Elehiya sa Paglimot,Kristoffer Brugada,2020
Love the Way U Lie,RC Delos Reyes,2020
"I, Will: The Doc Willie Ong Story",Ronnie Ricketts,2020
Hayop Ka!,Avid Liongoren,2020
U-Turn,Roderick Cabrido,2020
Sitsit,Ato Bautista and Erin Pascual,2020
Good Times Bad,Ara Baldonado,2020
My Lockdown Romance,Bobby Bonifacio Jr.,2020
Alter Me,RC delos Reyes,2020
He Who Is Without Sin,Jason Paul Laxamana,2020
Kintsugi,Lawrence Fajardo,2020
The Highest Peak,Arnel Barbarona,2020
Midnight in a Perfect World,Dodo Dayao,2020
"Boyette: Not a Girl, Yet",Jumbo Albany,2020
Finding Agnes,Marla Ancheta,2020
Memoirs of a Teenage Rebel,Robin Padilla,2020
Four Sisters Before the Wedding,Mae Cruz-Alviar,2020
Coming Home,Adolfo Alix Jr.,2020
Fan Girl,Antoinette Jadaone,2020
Isa Pang Bahaghari,Joel Lamangan,2020
Magikland,Christian Acuna,2020
Mang Kepweng: Ang Lihim ng Bandanang Itim,Topel Lee,2020
Pakboys Takusa,Al Tantay,2020
Suarez: The Healing Priest,Joven Tan,2020
Tagpuan,MacArthur Alejandre,2020
The Boy Foretold by the Stars,Dolly Dulu,2020
The Missing,Easy Ferrer,2020
