Title,Year,Genre,Plot,Kind
Insiang,1976,Drama,"Trapped in the slums, Insiang finds living with her disapproving, sharp-tongued mother, Tonya, trying. Tonya, having long ago been abandoned by her husband, takes her bitterness out on those around her. In a fit of anger, she finally throws out her husband's relatives who have been living with her, but it's not for the sake of their not bringing in money anymore, which it seems on the surface. She's making way for her boyfriend, Dado, to move in. Dado, the town bully, is young enough to be her son, and this new living situation becomes the talk of the town. It isn't long before he forces himself upon Insiang. Tonya is at first outraged but soon takes Dado's side and blames her daughter for her own rape. Insiang leaves home to seek support and solace from her ardent would-be boyfriend Bebot, but he proves to be another Lothario as well. Forced to return home, Insiang turns this inescapable situation upon itself to exact revenge.Written bystatmanjeff",movie
Ipaglaban mo,2014,"Crime, Drama, Thriller","ABS-CBN's long-running crime drama series that tackles all of the criminal cases from the Supreme Court and Court of Appeals. Crimes, interrogations, confrontations, and court scenes are the points of the program. Hosted by Atty. Jose C. Sison and his son Jopet Sison to narrate the criminal cases of the people.Written byEdmund Nishikata",tv series
Just the Way You Are,2015,"Drama, Romance","When Drake lost in a bet, his best friend wanted him to court a girl in a month and ask her to be his girlfriend. After she said, ""Yes"", he will tell her that he doesn't love her and all that happened between them was a game. But what if Sophia, the girl his best friend chose, is clever than they think she is? What will happen if she knows something about their pretty little secret?Written byilurvbooks",movie
Mula sa kung ano ang noon,2014,Drama,"The Philippines, 1972. Mysterious things are happening in a remote barrio. Wails are heard from the forest, cows are hacked to death, a man is found bleeding to death at the crossroad and houses are burned. Ferdinand E. Marcos announces Proclamation No. 1081 putting the entire country under Martial Law.Written byWorld Premieres Film Festival",movie
Dead Kids,2019,Thriller,"Tired of being tormented by popular rich kid Chuck Santos, the boys hatch a plot to kidnap the bully and demand a sizable ransom from his drug lord father. Once their nefarious plan gets going though, they realize how much they were in over their heads",movie
Krocodylus,2000,"Action, Adventure, Comedy","A pair of entrepreneurs with more bravery than brains hit upon the idea of blood surfing: spreading chum in the water in order to attract sharks, then hopping on a surfboard and riding through the middle of the pack. As they're filming their promotional documentary, the fun gets interrupted by a thirty-foot long salt water crocodile that begins snacking on everyone in the expedition. Will any of them make it back to civilization?Written byJean-Marc Rocher <rocher@fiberbit.net>",video movie
Four Sisters and a Wedding,2013,"Comedy, Drama","Four sisters try to stop the wedding of their younger brother and in doing so, all discover resentments among each other.",movie
Quaranthings,2020,Romance,A Filipino (Pinoy) boys' love (BL) series about finding love in the time of quarantine.,tv series
Block Z,2020,"Action, Horror, Thriller","A pre-med student and her friends encounter the death of a patient that exhibited symptoms of rabies. They are soon faced with an even bigger problem as their patient comes back from the dead and infects the people on campus, causing a lockdown and trapping the students inside.Written byStar Cinema",movie
The Boy Foretold by the Stars,2020,Romance,"The Boy Foretold By The Stars is a romantic comedy movie about two senior high school boys, who thru help of a fortune-teller, find each other at an optional school retreat called Journey with the Lord.",movie
