,Title,Year
0,Insiang,(1976)
1,Ipaglaban mo,(2014– )
2,Just the Way You Are,(2015)
3,Mula sa kung ano ang noon,(2014)
4,Dead Kids,(2019)
5,Krocodylus,(2000 Video)
6,Four Sisters and a Wedding,(2013)
7,Quaranthings,(2020– )
8,Block Z,(2020)
9,The Boy Foretold by the Stars,(2020)
10,Salo,(2011 Video)
11,"Kalel, 15",(2019)
12,Descendants of the Sun,(2020– )
13,Nightshift,(I) (2020)
14,Demon of Paradise,(1987)
15,Fan Girl,(2020)
16,Elise,(I) (2019)
17,Nene,(1998)
18,Nilalang,(2015)
19,Aswang,(2019)
20,I Do? I Die! (D'yos ko day),(1997)
21,Death Force,(1978)
22,Liberated,(2003)
23,Hindi ko kayang iwan ka,(2018)
24,Make It with You,(2020)
25,Goyo: Ang batang heneral,(2018)
26,First Love,(2018)
27,Forevermore,(2014–2015)
28,She's Dating the Gangster,(2014)
29,"I Love You, Hater",(2018)
30,Malamaya,(2019)
31,Sana maulit muli,(1995)
32,Through Night and Day,(2018)
33,Si Chedeng at si Apple,(2017)
34,Between Maybes,(2019)
35,Unforgettable,(III) (2019)
36,Ben X Jim,(2020– )
37,#ParangNormal Activity,(2015– )
38,Blind Side,(2008 Video)
39,Vince & Kath & James,(2016)
40,Kuwaresma,(2019)
41,Never Not Love You,(2018)
42,"Norte, hangganan ng kasaysayan",(2013)
43,Amo,(2017– )
44,Tanging yaman,(2000)
45,Everything About Her,(2016)
46,El filibusterismo,(1962)
47,Starting Over Again,(2014)
48,"Pag oras mo, oras mo na",(2000)
49,Tong tatlong tatay kong pakitong kitong,(1998)
50,Himala,(1982)
51,Cover Girl Models,(1975)
52,No Other Woman,(2011)
53,Finding Agnes,(2020)
54,Wild and Free,(I) (2018)
55,Unexpectedly Yours,(2017)
56,Beauty and the Bestie,(2015)
57,The Legal Wife,(2014)
58,Future Hunters,(1988)
59,Walang hanggan,(2012)
60,The Rich Man's Daughter,(2015– )
61,"Isang tanong, isang sagot",(1997)
62,The Escort,(III) (2016)
63,Bagani,(2018)
64,Palitan,(2012)
65,Double Barrel,(2017)
66,Xerex,(2003)
67,Four Sisters Before the Wedding,(2020)
68,"Largado, ibabalik kita sa pinanggalingan mo!",(1999)
69,Laman,(2002)
70,Aurora,(IV) (2018)
71,A Second Chance,(IV) (2015)
72,Bagman,(2019– )
73,Deadline: The Reign of Impunity,(2011)
74,Woke Up Like This,(2017)
75,Encantadia,(2005)
76,The General's Daughter,(2019)
77,Love Thy Woman,(2020– )
78,Unlocked,(2020)
79,Nag-aapoy na laman,(2000)
80,Selda,(2007)
81,Unloving U,(2021)
82,A Love Story,(2007)
83,Vampire Hookers,(1978)
84,Curacha ang babaeng walang pahinga,(1998)
85,"Girl, boy, bakla, tomboy",(2013)
86,Serbis,(2008)
87,Do Re Mi,(1996)
88,Ulan,(2019)
89,The Hot Box,(1972)
90,Diary ng panget,(2014)
91,Home Along da Riles da Movie,(1993)
92,Syota ng bayan,(2001)
93,Too Hot to Handle,(1977)
94,Bedtime Stories,(2002)
95,Tayong dalawa,(2009)
96,Bonifacio: Ang unang pangulo,(2014)
97,Caregiver,(2008)
98,Pagpag: Siyam na buhay,(2013)
99,Mga kuwentong barbero,(2013)
100,Little Nanay,(2015–2016)
101,Be Careful with My Heart,(2012–2014)
102,100 tula para kay Stella,(2017)
103,Caged Heat II: Stripped of Freedom,(1994)
104,Ang huling birhen sa lupa,(2003)
105,Dingding lang ang pagitan,(1986)
106,Silip,(1985)
107,Alter Me,(2020)
108,The Gifted,(2014)
109,Imortal,(2010–2011)
110,Pag dumikit kumakapit,(1998)
111,Anino sa likod ng buwan,(2015)
112,Hindi tayo pwede,(2020)
113,Mamu: And a Mother Too,(2018)
114,The Cure,(2018)
115,Misteryosa,(1999)
116,Two Love You,(2019)
117,"Oh, Mando!",(2020)
118,Muro-ami,(1999)
119,Super Ma'am,(2017–2018)
120,The Muthers,(1976)
121,Mara Clara,(2010–2011)
122,My Rebound Girl,(2016)
123,Daddy Knows Best,(1983)
124,Our Mighty Yaya,(2017)
125,Ang probinsyano,(2015– )
126,Pangako sa'yo,(2015– )
127,I Do Bidoo Bidoo: Heto nApo sila!,(2012)
128,Fantastica,(2018)
129,Bliss,(2017)
130,Laro sa baga,(2000)
131,Ma' Rosa,(2016)
132,The Love Affair,(2015)
133,Verdict,(I) (2019)
134,That Thing Called Tadhana,(2014)
135,Love the Way U Lie,(2020)
136,S.O.N.S. (Sons of Nanay Sabel),(2019)
137,Feng Shui,(2004)
138,Machete II,(1994)
139,Pugoy - Hostage: Davao,(1992)
140,Kita kita,(2017)
141,UPCAT,(2008)
142,Doble Kara,(2015–2017)
143,Mga batang poz,(2019– )
144,Ang kwento nating dalawa,(2015)
145,Got to Believe,(2013–2014)
146,Darna,(2005)
147,Isa lang ang dapat mahalin,(1997)
148,The Unmarried Wife,(2016)
149,Bar Boys,(2017)
150,The Big Bird Cage,(1972)
151,Miracle in Cell No. 7,(2019)
152,Black Mama White Mama,(1973)
153,"Hello, Stranger: The Movie",(2021)
154,Yellow Rose,(I) (2019)
155,Eerie,(2018)
156,Women in Cages,(1971)
157,Wonder Women,(1973)
158,Anak ng Macho Dancer,(2021)
159,The Big Doll House,(1971)
160,"Hello, Stranger",(2020)
161,The House Arrest of Us,(2020–2021)
162,Raw Force,(1982)
163,Maria,(II) (2019)
164,Just a Stranger,(2019)
165,Gaya sa pelikula,(2020– )
166,Cuddle Weather,(2019)
167,www.XXX.com,(2003)
168,U-Turn,(2020)
169,BuyBust,(2018)
170,Adan,(2019)
171,Gameboys,(2020– )
172,The Panti Sisters,(2019)
173,Must Be... Love,(2013)
174,Wheels of Fire,(1985)
175,Watch List,(2019)
176,"Paglaki ko, gusto kong maging pornstar",(2021)
177,Sex Drive,(2003)
178,Always Be My Maybe,(2016)
179,Manila in the Claws of Light,(1975)
180,F#*@bois,(2019)
181,On the Wings of Love,(2015–2016)
182,Can't Help Falling in Love,(2017)
183,My Neighbor's Wife,(2011)
184,The Hows of Us,(2018)
185,TNT Jackson,(1974)
186,The Mistress,(I) (2012)
187,Stryker,(1983)
188,Ang babaeng humayo,(2016)
189,"Hello, Love, Goodbye",(2019)
190,Dahil mahal na mahal kita,(1998)
191,Rigodon,(2012)
192,Beyond Atlantis,(1973)
193,Got 2 Believe,(2002)
194,"Isa pa, with feelings",(2019)
195,Metamorphosis,(VI) (2019)
196,Quezon's Game,(2018)
197,My Ex and Whys,(2017)
198,The Twilight People,(1972)
199,Macho Dancer,(1988)
200,The Big Bird Cage,(1972)
201,Miracle in Cell No. 7,(2019)
202,Black Mama White Mama,(1973)
203,"Hello, Stranger: The Movie",(2021)
204,Yellow Rose,(I) (2019)
205,Eerie,(2018)
206,Women in Cages,(1971)
207,Wonder Women,(1973)
208,Anak ng Macho Dancer,(2021)
209,The Big Doll House,(1971)
210,"Hello, Stranger",(2020)
211,The House Arrest of Us,(2020–2021)
212,Raw Force,(1982)
213,Maria,(II) (2019)
214,Just a Stranger,(2019)
215,Gaya sa pelikula,(2020– )
216,Cuddle Weather,(2019)
217,www.XXX.com,(2003)
218,U-Turn,(2020)
219,BuyBust,(2018)
220,Adan,(2019)
221,Gameboys,(2020– )
222,The Panti Sisters,(2019)
223,Must Be... Love,(2013)
224,Wheels of Fire,(1985)
225,Watch List,(2019)
226,"Paglaki ko, gusto kong maging pornstar",(2021)
227,Sex Drive,(2003)
228,Always Be My Maybe,(2016)
229,Manila in the Claws of Light,(1975)
230,F#*@bois,(2019)
231,On the Wings of Love,(2015–2016)
232,Can't Help Falling in Love,(2017)
233,My Neighbor's Wife,(2011)
234,The Hows of Us,(2018)
235,TNT Jackson,(1974)
236,The Mistress,(I) (2012)
237,Stryker,(1983)
238,Ang babaeng humayo,(2016)
239,"Hello, Love, Goodbye",(2019)
240,Dahil mahal na mahal kita,(1998)
241,Rigodon,(2012)
242,Beyond Atlantis,(1973)
243,Got 2 Believe,(2002)
244,"Isa pa, with feelings",(2019)
245,Metamorphosis,(VI) (2019)
246,Quezon's Game,(2018)
247,My Ex and Whys,(2017)
248,The Twilight People,(1972)
249,Macho Dancer,(1988)
250,Insiang,(1976)
251,Ipaglaban mo,(2014– )
252,Just the Way You Are,(2015)
253,Mula sa kung ano ang noon,(2014)
254,Dead Kids,(2019)
255,Krocodylus,(2000 Video)
256,Four Sisters and a Wedding,(2013)
257,Quaranthings,(2020– )
258,Block Z,(2020)
259,The Boy Foretold by the Stars,(2020)
260,Salo,(2011 Video)
261,"Kalel, 15",(2019)
262,Descendants of the Sun,(2020– )
263,Nightshift,(I) (2020)
264,Demon of Paradise,(1987)
265,Fan Girl,(2020)
266,Elise,(I) (2019)
267,Nene,(1998)
268,Nilalang,(2015)
269,Aswang,(2019)
270,I Do? I Die! (D'yos ko day),(1997)
271,Death Force,(1978)
272,Liberated,(2003)
273,Hindi ko kayang iwan ka,(2018)
274,Make It with You,(2020)
275,Goyo: Ang batang heneral,(2018)
276,First Love,(2018)
277,Forevermore,(2014–2015)
278,She's Dating the Gangster,(2014)
279,"I Love You, Hater",(2018)
280,Malamaya,(2019)
281,Sana maulit muli,(1995)
282,Through Night and Day,(2018)
283,Si Chedeng at si Apple,(2017)
284,Between Maybes,(2019)
285,Unforgettable,(III) (2019)
286,Ben X Jim,(2020– )
287,#ParangNormal Activity,(2015– )
288,Blind Side,(2008 Video)
289,Vince & Kath & James,(2016)
290,Kuwaresma,(2019)
291,Never Not Love You,(2018)
